date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2026-06-19 00:00:00+00:00,2026,6,19,port254,Colombo,Sri Lanka,LKA,8,0,1,0,1,9,10,19044,0,1030,0,13823,20075,33898,20584,0,1787,0,1155,22372,23527
2026-06-19 00:00:00+00:00,2026,6,19,port678,Hambantota,Sri Lanka,LKA,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-19 00:00:00+00:00,2026,6,19,port1319,Trincomalee,Sri Lanka,LKA,0,1,0,0,0,1,1,0,19587,0,0,0,19587,19587,0,5992,0,0,0,5992,5992
2026-06-19 00:00:00+00:00,2026,6,19,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-18 00:00:00+00:00,2026,6,18,port254,Colombo,Sri Lanka,LKA,13,3,1,0,1,17,18,59004,44261,0,0,9329,103266,112595,22090,4855,4419,0,1508,31365,32874
2026-06-18 00:00:00+00:00,2026,6,18,port678,Hambantota,Sri Lanka,LKA,1,0,0,1,0,2,2,0,0,0,601,0,601,601,13123,0,0,673,0,13797,13797
2026-06-18 00:00:00+00:00,2026,6,18,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-18 00:00:00+00:00,2026,6,18,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-17 00:00:00+00:00,2026,6,17,port254,Colombo,Sri Lanka,LKA,6,1,0,0,2,7,9,7222,0,0,0,5271,7222,12493,24339,0,0,0,1408,24339,25747
2026-06-17 00:00:00+00:00,2026,6,17,port678,Hambantota,Sri Lanka,LKA,1,1,1,1,0,4,4,6741,30342,1288,0,0,38372,38372,4490,5184,942,0,0,10617,10617
2026-06-17 00:00:00+00:00,2026,6,17,port1319,Trincomalee,Sri Lanka,LKA,0,0,1,0,1,1,2,0,0,0,0,13648,0,13648,0,0,4811,0,0,4811,4811
2026-06-17 00:00:00+00:00,2026,6,17,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-16 00:00:00+00:00,2026,6,16,port254,Colombo,Sri Lanka,LKA,9,2,0,0,3,11,14,72544,0,0,0,4206,72544,76751,11957,1380,0,0,809,13338,14147
2026-06-16 00:00:00+00:00,2026,6,16,port678,Hambantota,Sri Lanka,LKA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5156,0,0,0,0,5156,5156
2026-06-16 00:00:00+00:00,2026,6,16,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-16 00:00:00+00:00,2026,6,16,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-15 00:00:00+00:00,2026,6,15,port254,Colombo,Sri Lanka,LKA,11,0,0,0,1,11,12,45131,0,0,0,0,45131,45131,27629,0,0,0,0,27629,27629
2026-06-15 00:00:00+00:00,2026,6,15,port678,Hambantota,Sri Lanka,LKA,2,0,0,1,0,3,3,0,0,0,601,0,601,601,12969,0,0,673,0,13642,13642
2026-06-15 00:00:00+00:00,2026,6,15,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,1,0,1,0,0,0,0,22107,0,22107,0,0,0,0,5984,0,5984
2026-06-15 00:00:00+00:00,2026,6,15,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-14 00:00:00+00:00,2026,6,14,port254,Colombo,Sri Lanka,LKA,11,1,1,0,4,13,17,48860,11328,1030,0,67651,61219,128871,25006,2162,1787,0,1155,28957,30113
2026-06-14 00:00:00+00:00,2026,6,14,port678,Hambantota,Sri Lanka,LKA,1,0,0,1,0,2,2,4666,0,0,601,0,5268,5268,0,0,0,673,0,673,673
2026-06-14 00:00:00+00:00,2026,6,14,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-14 00:00:00+00:00,2026,6,14,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-13 00:00:00+00:00,2026,6,13,port254,Colombo,Sri Lanka,LKA,9,0,0,0,3,9,12,47596,0,0,0,14212,47596,61809,9274,0,0,0,2574,9274,11849
2026-06-13 00:00:00+00:00,2026,6,13,port678,Hambantota,Sri Lanka,LKA,0,0,0,1,0,1,1,0,0,0,843,0,843,843,0,0,0,681,0,681,681
2026-06-13 00:00:00+00:00,2026,6,13,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,43261,0,43261
2026-06-13 00:00:00+00:00,2026,6,13,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-12 00:00:00+00:00,2026,6,12,port254,Colombo,Sri Lanka,LKA,7,0,1,0,2,8,10,47524,0,0,0,13823,47524,61348,50483,0,0,0,1155,50483,51639
2026-06-12 00:00:00+00:00,2026,6,12,port678,Hambantota,Sri Lanka,LKA,1,0,0,2,1,3,4,26514,0,0,3150,0,29665,29665,0,0,0,4747,0,4747,4747
2026-06-12 00:00:00+00:00,2026,6,12,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7836,0,7836
2026-06-12 00:00:00+00:00,2026,6,12,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-11 00:00:00+00:00,2026,6,11,port254,Colombo,Sri Lanka,LKA,6,1,2,0,2,9,11,12667,18750,0,0,0,31418,31418,60078,0,7210,0,876,67288,68164
2026-06-11 00:00:00+00:00,2026,6,11,port678,Hambantota,Sri Lanka,LKA,1,0,0,1,2,2,4,16206,0,0,2106,0,18312,18312,0,0,0,0,0,0,0
2026-06-11 00:00:00+00:00,2026,6,11,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,2,0,2,0,0,0,0,10341,0,10341,0,0,0,0,3918,0,3918
2026-06-11 00:00:00+00:00,2026,6,11,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-10 00:00:00+00:00,2026,6,10,port254,Colombo,Sri Lanka,LKA,9,0,0,0,1,9,10,55020,0,0,0,0,55020,55020,34164,0,0,0,0,34164,34164
2026-06-10 00:00:00+00:00,2026,6,10,port678,Hambantota,Sri Lanka,LKA,2,0,0,0,1,2,3,0,0,0,0,7797,0,7797,12489,0,0,0,594,12489,13084
2026-06-10 00:00:00+00:00,2026,6,10,port1319,Trincomalee,Sri Lanka,LKA,0,1,0,0,0,1,1,0,35221,0,0,0,35221,35221,0,1191,0,0,0,1191,1191
2026-06-10 00:00:00+00:00,2026,6,10,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-09 00:00:00+00:00,2026,6,9,port254,Colombo,Sri Lanka,LKA,11,0,0,0,0,11,11,19648,0,0,0,0,19648,19648,26985,0,0,0,0,26985,26985
2026-06-09 00:00:00+00:00,2026,6,9,port678,Hambantota,Sri Lanka,LKA,1,0,0,0,0,1,1,6741,0,0,0,0,6741,6741,4490,0,0,0,0,4490,4490
2026-06-09 00:00:00+00:00,2026,6,9,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-09 00:00:00+00:00,2026,6,9,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-08 00:00:00+00:00,2026,6,8,port254,Colombo,Sri Lanka,LKA,8,1,1,0,2,10,12,34593,14753,0,0,43324,49347,92671,31524,1618,0,0,5758,33143,38902
2026-06-08 00:00:00+00:00,2026,6,8,port678,Hambantota,Sri Lanka,LKA,1,0,0,1,0,2,2,0,0,0,601,0,601,601,0,0,0,673,0,673,673
2026-06-08 00:00:00+00:00,2026,6,8,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-08 00:00:00+00:00,2026,6,8,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-07 00:00:00+00:00,2026,6,7,port254,Colombo,Sri Lanka,LKA,7,0,0,0,1,7,8,7629,0,0,0,4206,7629,11836,25536,0,0,0,809,25536,26345
2026-06-07 00:00:00+00:00,2026,6,7,port678,Hambantota,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-07 00:00:00+00:00,2026,6,7,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,1,0,1,0,0,0,0,31714,0,31714,0,0,0,0,0,0,0
2026-06-07 00:00:00+00:00,2026,6,7,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06 00:00:00+00:00,2026,6,6,port254,Colombo,Sri Lanka,LKA,11,0,0,0,2,11,13,89895,0,0,0,13823,89895,103718,20112,0,0,0,1155,20112,21268
2026-06-06 00:00:00+00:00,2026,6,6,port678,Hambantota,Sri Lanka,LKA,0,1,0,1,0,2,2,0,58696,0,0,0,58696,58696,0,0,0,0,0,0,0
2026-06-06 00:00:00+00:00,2026,6,6,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-06 00:00:00+00:00,2026,6,6,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-05 00:00:00+00:00,2026,6,5,port254,Colombo,Sri Lanka,LKA,10,2,0,0,0,12,12,24187,14753,0,0,0,38941,38941,36624,2789,0,0,0,39414,39414
2026-06-05 00:00:00+00:00,2026,6,5,port678,Hambantota,Sri Lanka,LKA,2,1,0,0,0,3,3,5507,30342,0,0,0,35849,35849,30989,5184,0,0,0,36174,36174
2026-06-05 00:00:00+00:00,2026,6,5,port1319,Trincomalee,Sri Lanka,LKA,0,0,1,0,0,1,1,0,0,684,0,0,684,684,0,0,4114,0,0,4114,4114
2026-06-05 00:00:00+00:00,2026,6,5,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-04 00:00:00+00:00,2026,6,4,port254,Colombo,Sri Lanka,LKA,8,0,3,0,2,11,13,9228,0,1030,0,4206,10259,14466,27375,0,8857,0,2164,36233,38398
2026-06-04 00:00:00+00:00,2026,6,4,port678,Hambantota,Sri Lanka,LKA,1,0,0,3,0,4,4,8945,0,0,0,0,8945,8945,0,0,0,11662,0,11662,11662
2026-06-04 00:00:00+00:00,2026,6,4,port1319,Trincomalee,Sri Lanka,LKA,0,1,0,0,0,1,1,0,19587,0,0,0,19587,19587,0,5992,0,0,0,5992,5992
2026-06-04 00:00:00+00:00,2026,6,4,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-03 00:00:00+00:00,2026,6,3,port254,Colombo,Sri Lanka,LKA,5,0,0,0,1,5,6,29683,0,0,0,0,29683,29683,5338,0,0,0,0,5338,5338
2026-06-03 00:00:00+00:00,2026,6,3,port678,Hambantota,Sri Lanka,LKA,2,0,0,1,2,3,5,3358,0,0,0,3928,3358,7286,4185,0,0,155,1066,4341,5407
2026-06-03 00:00:00+00:00,2026,6,3,port1319,Trincomalee,Sri Lanka,LKA,1,0,0,0,0,1,1,416,0,0,0,0,416,416,977,0,0,0,0,977,977
2026-06-03 00:00:00+00:00,2026,6,3,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-02 00:00:00+00:00,2026,6,2,port254,Colombo,Sri Lanka,LKA,6,0,0,0,1,6,7,18450,0,0,0,4206,18450,22657,5385,0,0,0,809,5385,6194
2026-06-02 00:00:00+00:00,2026,6,2,port678,Hambantota,Sri Lanka,LKA,2,0,0,2,0,4,4,6741,0,0,510,0,7252,7252,5579,0,0,0,0,5579,5579
2026-06-02 00:00:00+00:00,2026,6,2,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-02 00:00:00+00:00,2026,6,2,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-01 00:00:00+00:00,2026,6,1,port254,Colombo,Sri Lanka,LKA,10,0,0,0,1,10,11,26021,0,0,0,0,26021,26021,49032,0,0,0,0,49032,49032
2026-06-01 00:00:00+00:00,2026,6,1,port678,Hambantota,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-01 00:00:00+00:00,2026,6,1,port1319,Trincomalee,Sri Lanka,LKA,0,1,0,0,0,1,1,0,3858,0,0,0,3858,3858,0,0,0,0,0,0,0
2026-06-01 00:00:00+00:00,2026,6,1,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
